,emote,signifier,enchancedSentiment,positiveScore,neutralScore,negativeScore,Freq
84,🤤, drooling_face ,0.51116,0.3542,0.3542,0.0,5
85,🩸, drop_of_blood ,-0.3818,0.217,0.217,0.783,1
86,🍆, eggplant ,0.0,1.0,1.0,0.0,3
87,🔌, electric_plug ,-0.1027,0.682,0.682,0.318,1
88,❗, exclamation_mark ,0.9397444444444444,0.7416666666666666,0.7416666666666666,0.0057777777777777775,9
89,🤯, exploding_head ,0.4729538461538461,0.07346153846153847,0.07346153846153847,0.014923076923076924,13
90,😑, expressionless_face ,-0.8624999999999999,0.357,0.357,0.6429999999999999,6
91,👁, eye ,0.3235583333333334,0.726625,0.726625,0.016833333333333332,16
92,👁, eye ,0.3235583333333334,0.726625,0.726625,0.016833333333333332,7
93,👁, eye ,0.3235583333333334,0.726625,0.726625,0.016833333333333332,1
94,👀, eyes ,0.06152109375000004,0.8883476562500001,0.8883476562500001,0.03928125000000001,57
95,👀, eyes ,0.06152109375000004,0.8883476562500001,0.8883476562500001,0.03928125000000001,175
96,👀, eyes ,0.06152109375000004,0.8883476562500001,0.8883476562500001,0.03928125000000001,24
97,😘, face_blowing_a_kiss ,0.63074,0.0732,0.0732,0.0,5
98,😋, face_savoring_food ,0.6087,0.37537499999999996,0.37537499999999996,0.0100625,16
99,😱, face_screaming_in_fear ,0.34614999999999996,0.5208750000000001,0.5208750000000001,0.0475,1
100,😱, face_screaming_in_fear ,0.34614999999999996,0.5208750000000001,0.5208750000000001,0.0475,7
101,🤮, face_vomiting ,-0.07335,0.37925,0.37925,0.5627500000000001,3
102,🤮, face_vomiting ,-0.07335,0.37925,0.37925,0.5627500000000001,1
103,🤭, face_with_hand_over_mouth ,0.3818,0.435,0.435,0.0,2
104,😷, face_with_medical_mask ,-0.1531,0.4365,0.4365,0.5635,2
105,🧐, face_with_monocle ,0.5299354838709677,0.43370967741935473,0.43370967741935473,0.018451612903225806,31
106,😮, face_with_open_mouth ,0.15393333333333334,0.602,0.602,0.15133333333333335,2
107,😮, face_with_open_mouth ,0.15393333333333334,0.602,0.602,0.15133333333333335,1
108,🤨, face_with_raised_eyebrow ,-0.10983333333333332,0.8863333333333333,0.8863333333333333,0.085,1
109,🤨, face_with_raised_eyebrow ,-0.10983333333333332,0.8863333333333333,0.8863333333333333,0.085,1
110,🤨, face_with_raised_eyebrow ,-0.10983333333333332,0.8863333333333333,0.8863333333333333,0.085,4
111,🙄, face_with_rolling_eyes ,-0.09951578947368421,0.588315789473684,0.588315789473684,0.2826842105263158,4
112,🙄, face_with_rolling_eyes ,-0.09951578947368421,0.588315789473684,0.588315789473684,0.2826842105263158,1
113,🙄, face_with_rolling_eyes ,-0.09951578947368421,0.588315789473684,0.588315789473684,0.2826842105263158,14
114,😤, face_with_steam_from_nose ,-0.079475,0.4659166666666667,0.4659166666666667,0.31066666666666665,7
115,😤, face_with_steam_from_nose ,-0.079475,0.4659166666666667,0.4659166666666667,0.31066666666666665,5
116,🤬, face_with_symbols_on_mouth ,-0.4998666666666667,0.5231666666666666,0.5231666666666666,0.4001666666666666,6
117,😂, face_with_tears_of_joy ,0.3093686357243312,0.4583164556962027,0.4583164556962027,0.0698382559774965,591
118,😂, face_with_tears_of_joy ,0.3093686357243312,0.4583164556962027,0.4583164556962027,0.0698382559774965,17
119,😂, face_with_tears_of_joy ,0.3093686357243312,0.4583164556962027,0.4583164556962027,0.0698382559774965,103
120,😛, face_with_tongue ,0.5368625000000001,0.41875,0.41875,0.0,16
121,😶, face_without_mouth ,-0.128,0.824,0.824,0.176,1
122,😨, fearful_face ,0.1654,0.45,0.45,0.3535,1
123,😨, fearful_face ,0.1654,0.45,0.45,0.3535,1
124,📽, film_projector ,0.4588,0.692,0.692,0.0,1
125,🔥, fire ,-0.4779367741935487,0.3409096774193544,0.3409096774193544,0.5624290322580644,262
126,🔥, fire ,-0.4779367741935487,0.3409096774193544,0.3409096774193544,0.5624290322580644,4
127,🔥, fire ,-0.4779367741935487,0.3409096774193544,0.3409096774193544,0.5624290322580644,44
128,🚒, fire_engine ,-0.6220249999999999,0.1775,0.1775,0.8225,4
129,🎆, fireworks ,0.7034,0.265,0.265,0.194,1
130,🐟, fish ,0.3612,0.6865,0.6865,0.0,6
131,💪, flexed_biceps ,0.6102235294117648,0.41442352941176486,0.41442352941176486,0.010505882352941179,82
132,💪, flexed_biceps ,0.6102235294117648,0.41442352941176486,0.41442352941176486,0.010505882352941179,3
133,😳, flushed_face ,0.15093559322033903,0.3571186440677967,0.3571186440677967,0.09996610169491527,16
134,😳, flushed_face ,0.15093559322033903,0.3571186440677967,0.3571186440677967,0.09996610169491527,32
135,😳, flushed_face ,0.15093559322033903,0.3571186440677967,0.3571186440677967,0.09996610169491527,11
136,🙏, folded_hands ,0.6484497584541064,0.5021352657004831,0.5021352657004831,0.011942028985507249,201
137,🙏, folded_hands ,0.6484497584541064,0.5021352657004831,0.5021352657004831,0.011942028985507249,3
138,🙏, folded_hands ,0.6484497584541064,0.5021352657004831,0.5021352657004831,0.011942028985507249,3
139,🍴, fork_and_knife ,0.4215,0.714,0.714,0.0,1
140,🍀, four_leaf_clover ,0.6808,0.345,0.345,0.0,4
141,🐥, front-facing_baby_chick ,0.45880000000000004,0.25,0.25,0.0,12
142,☹, frowning_face ,-0.45879999999999993,0.5333333333333333,0.5333333333333333,0.4666666666666666,3
143,😦, frowning_face_with_open_mouth ,-0.2011976744186047,0.4770232558139535,0.4770232558139535,0.4172790697674419,13
144,😦, frowning_face_with_open_mouth ,-0.2011976744186047,0.4770232558139535,0.4770232558139535,0.4172790697674419,30
145,🌕, full_moon ,0.7845,0.533,0.533,0.0,1
146,🌝, full_moon_face ,0.4939,0.656,0.656,0.0,1
147,🎲, game_die ,0.0,1.0,1.0,0.0,2
148,💎, gem_stone ,0.6066153846153844,0.724153846153846,0.724153846153846,0.029076923076923077,13
149,🌎, globe_showing_americas ,0.4019,0.448,0.448,0.0,1
150,🐐, goat ,0.0,1.0,1.0,0.0,20
151,🟢, green_circle ,0.6067999999999999,0.33266666666666667,0.33266666666666667,0.0,3
152,💚, green_heart ,0.4767,0.244,0.244,0.0,1
153,😬, grimacing_face ,0.3427090909090909,0.3936136363636365,0.3936136363636365,0.046113636363636364,40
154,😬, grimacing_face ,0.3427090909090909,0.3936136363636365,0.3936136363636365,0.046113636363636364,4
155,😀, grinning_face ,0.5364333333333333,0.6353333333333333,0.6353333333333333,0.038,3
156,😃, grinning_face_with_big_eyes ,0.53155,0.3440833333333333,0.3440833333333333,0.03183333333333333,12
157,😄, grinning_face_with_smiling_eyes ,0.47470136986301376,0.49653424657534245,0.49653424657534245,0.049698630136986305,65
158,😄, grinning_face_with_smiling_eyes ,0.47470136986301376,0.49653424657534245,0.49653424657534245,0.049698630136986305,8
159,😅, grinning_face_with_sweat ,0.24235324675324682,0.6548701298701296,0.6548701298701296,0.07696103896103897,17
160,😅, grinning_face_with_sweat ,0.24235324675324682,0.6548701298701296,0.6548701298701296,0.07696103896103897,60
161,😆, grinning_squinting_face ,0.4110259740259742,0.40120779220779207,0.40120779220779207,0.043415584415584414,8
162,😆, grinning_squinting_face ,0.4110259740259742,0.40120779220779207,0.40120779220779207,0.043415584415584414,69
163,🍔, hamburger ,0.0,1.0,1.0,0.0,3
164,🔨, hammer ,0.0,1.0,1.0,0.0,1
165,🖐, hand_with_fingers_splayed ,0.5859,0.385,0.385,0.0,3
166,🤝, handshake ,0.0,1.0,1.0,0.0,4
167,🥵, hot_face ,-0.14405,0.5299166666666667,0.5299166666666667,0.3779166666666667,3
168,🥵, hot_face ,-0.14405,0.5299166666666667,0.5299166666666667,0.3779166666666667,9
169,🤗, hugging_face ,0.31832000000000005,0.2448,0.2448,0.17159999999999997,5
170,💯, hundred_points ,0.6511781249999998,0.30419791666666657,0.30419791666666657,0.06115624999999999,94
171,💯, hundred_points ,0.6511781249999998,0.30419791666666657,0.30419791666666657,0.06115624999999999,2
172,😯, hushed_face ,-0.25,0.326,0.326,0.337,1
173,☝, index_pointing_up ,0.5185783783783783,0.41210810810810816,0.41210810810810816,0.016324324324324326,36
174,☝, index_pointing_up ,0.5185783783783783,0.41210810810810816,0.41210810810810816,0.016324324324324326,1
175,👖, jeans ,0.2732,0.588,0.588,0.0,1
176,🔑, key ,0.18655,0.7451666666666666,0.7451666666666666,0.09449999999999999,4
177,🔑, key ,0.18655,0.7451666666666666,0.7451666666666666,0.09449999999999999,2
178,😚, kissing_face_with_closed_eyes ,0.7954,0.0,0.0,0.0,2
179,🔪, kitchen_knife ,-0.064125,0.746,0.746,0.0675,1
180,🔪, kitchen_knife ,-0.064125,0.746,0.746,0.0675,3
181,✝, latin_cross ,0.7034,0.265,0.265,0.194,1
182,💡, light_bulb ,0.3343,0.335,0.335,0.233,1
183,🔗, link ,0.9914,0.792,0.792,0.0,2
184,🚂, locomotive ,-0.28353333333333336,0.8166666666666667,0.8166666666666667,0.18333333333333335,6
185,🚂, locomotive ,-0.28353333333333336,0.8166666666666667,0.8166666666666667,0.18333333333333335,3
186,😭, loudly_crying_face ,-0.37306824324324306,0.325939189189189,0.325939189189189,0.5735270270270267,128
187,😭, loudly_crying_face ,-0.37306824324324306,0.325939189189189,0.325939189189189,0.5735270270270267,1
188,😭, loudly_crying_face ,-0.37306824324324306,0.325939189189189,0.325939189189189,0.5735270270270267,19
189,👨, man ,0.38702000000000003,0.7842,0.7842,0.057999999999999996,1
190,👨, man ,0.38702000000000003,0.7842,0.7842,0.057999999999999996,1
191,👨, man ,0.38702000000000003,0.7842,0.7842,0.057999999999999996,3
192,🕺, man_dancing ,0.128,0.667,0.667,0.0,1
193,🦾, mechanical_arm ,0.3657000000000001,0.442,0.442,0.0,3
194,🍈, melon ,0.0,1.0,1.0,0.0,1
195,🖕, middle_finger ,-0.2263,0.0,0.0,1.0,2
196,🤑, money-mouth_face ,0.7452390728476819,0.34575496688741736,0.34575496688741736,0.014794701986754966,151
197,💰, money_bag ,0.7156051546391756,0.42626804123711337,0.42626804123711337,0.0165360824742268,92
198,💰, money_bag ,0.7156051546391756,0.42626804123711337,0.42626804123711337,0.0165360824742268,5
199,💸, money_with_wings ,0.6609750000000001,0.44293750000000004,0.44293750000000004,0.0,16
