,0,1,2,3
179,674648888279302204,GOOFYSPY#8332,PLTR ...OUT AT 120%,2020-11-25T14:55:54.026000+00:00
180,140154918349701121,celestialwombat#0532,AMD 12/4 88 overnight swing. took my money and ran! gonna eat well this thanksgiving,2020-11-25T14:43:22.341000+00:00
181,233095871628050433,jibroni#0841,Good stuff in Voice chat this morning,2020-11-25T14:49:39.143000+00:00
182,674648888279302204,GOOFYSPY#8332,PLTR ...OUT AT 120%,2020-11-25T14:55:54.026000+00:00
183,140154918349701121,celestialwombat#0532,AMD 12/4 88 overnight swing. took my money and ran! gonna eat well this thanksgiving,2020-11-25T14:43:22.341000+00:00
184,233095871628050433,jibroni#0841,Good stuff in Voice chat this morning,2020-11-25T14:49:39.143000+00:00
185,674648888279302204,GOOFYSPY#8332,PLTR ...OUT AT 120%,2020-11-25T14:55:54.026000+00:00
186,579205396166737921,beenpippinsincebeenpippin#4039,Trim city,2020-11-24T20:49:14.664000+00:00
187,140154918349701121,celestialwombat#0532,AMD 12/4 88 overnight swing. took my money and ran! gonna eat well this thanksgiving,2020-11-25T14:43:22.341000+00:00
188,233095871628050433,jibroni#0841,Good stuff in Voice chat this morning,2020-11-25T14:49:39.143000+00:00
189,674648888279302204,GOOFYSPY#8332,PLTR ...OUT AT 120%,2020-11-25T14:55:54.026000+00:00
190,579205396166737921,beenpippinsincebeenpippin#4039,Trim city,2020-11-24T20:49:14.664000+00:00
191,140154918349701121,celestialwombat#0532,AMD 12/4 88 overnight swing. took my money and ran! gonna eat well this thanksgiving,2020-11-25T14:43:22.341000+00:00
192,233095871628050433,jibroni#0841,Good stuff in Voice chat this morning,2020-11-25T14:49:39.143000+00:00
193,702961272689524767,aalisub#9254,quick scalp thanks <@!536430344489009153> !!,2020-11-24T18:48:07.034000+00:00
194,579205396166737921,beenpippinsincebeenpippin#4039,Trim city,2020-11-24T20:49:14.664000+00:00
195,140154918349701121,celestialwombat#0532,AMD 12/4 88 overnight swing. took my money and ran! gonna eat well this thanksgiving,2020-11-25T14:43:22.341000+00:00
196,408258717595729921,Sal.D#0423,<@!464449226521313292>,2020-11-24T18:44:20.405000+00:00
197,702961272689524767,aalisub#9254,quick scalp thanks <@!536430344489009153> !!,2020-11-24T18:48:07.034000+00:00
198,579205396166737921,beenpippinsincebeenpippin#4039,Trim city,2020-11-24T20:49:14.664000+00:00
199,408258717595729921,Sal.D#0423,TSLA swing from a couple of hours ago,2020-11-24T18:43:54.647000+00:00
200,408258717595729921,Sal.D#0423,<@!464449226521313292>,2020-11-24T18:44:20.405000+00:00
201,702961272689524767,aalisub#9254,quick scalp thanks <@!536430344489009153> !!,2020-11-24T18:48:07.034000+00:00
202,579205396166737921,beenpippinsincebeenpippin#4039,Trim city,2020-11-24T20:49:14.664000+00:00
203,385261276986605568,Sporadic#0001,to the moon!,2020-11-24T18:38:08.950000+00:00
204,408258717595729921,Sal.D#0423,TSLA swing from a couple of hours ago,2020-11-24T18:43:54.647000+00:00
205,408258717595729921,Sal.D#0423,<@!464449226521313292>,2020-11-24T18:44:20.405000+00:00
206,702961272689524767,aalisub#9254,quick scalp thanks <@!536430344489009153> !!,2020-11-24T18:48:07.034000+00:00
207,701683775481970709,OldKeller#4301,<@764586612134248508>  my guy,2020-11-24T16:55:09.963000+00:00
208,385261276986605568,Sporadic#0001,to the moon!,2020-11-24T18:38:08.950000+00:00
209,408258717595729921,Sal.D#0423,TSLA swing from a couple of hours ago,2020-11-24T18:43:54.647000+00:00
210,408258717595729921,Sal.D#0423,<@!464449226521313292>,2020-11-24T18:44:20.405000+00:00
211,702961272689524767,aalisub#9254,quick scalp thanks <@!536430344489009153> !!,2020-11-24T18:48:07.034000+00:00
212,674648888279302204,GOOFYSPY#8332,SPY calls In and out 92%,2020-11-24T16:54:58.212000+00:00
213,701683775481970709,OldKeller#4301,<@764586612134248508>  my guy,2020-11-24T16:55:09.963000+00:00
214,385261276986605568,Sporadic#0001,to the moon!,2020-11-24T18:38:08.950000+00:00
215,408258717595729921,Sal.D#0423,TSLA swing from a couple of hours ago,2020-11-24T18:43:54.647000+00:00
